School Name,State Name [Public School] Latest available year,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Black Students [Public School] 2018-19,White Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Total Race/Ethnicity [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,Latitude [Public School] 2018-19,Longitude [Public School] 2018-19,CSA ID [District] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19
CESAR E. CHAVEZ HIGH,California,Orange County,="06059",236,149,="0",1,380,="0",2,1,1,385,16.00,24.06,33.718709,-117.867282,348,385,325,15,340
CESAR E. CHAVEZ HIGH,California,Kern County,="06029",778,710,–,150,1305,4,26,–,3,1488,62.25,23.90,35.766301,-119.221150,†,1488,1153,144,1297
CESAR E. CHAVEZ LRNG ACADS - ARTS/THEATRE/ENTERTAIN MAG,California,Los Angeles County,="06037",176,258,3,8,388,22,13,–,–,434,23.84,18.20,34.288623,-118.421016,348,434,329,39,368
CESAR E. CHAVEZ LRNG ACADS-ACAD OF SCIENTIFIC EXPLR (ASE),California,Los Angeles County,="06037",276,171,–,5,420,4,17,–,1,447,19.83,22.54,34.288623,-118.421016,348,447,351,33,384
CESAR E. CHAVEZ LRNG ACADS-SOC JUST HUMANITAS ACAD,California,Los Angeles County,="06037",237,284,2,–,503,8,7,–,1,521,23.83,21.86,34.288623,-118.421016,348,521,428,48,476
CESAR E. CHAVEZ LRNG ACADS-TECH PREP ACAD,California,Los Angeles County,="06037",211,128,–,1,320,12,6,–,–,339,17.50,19.37,34.288623,-118.421016,348,339,291,19,310
CESAR E. CHAVEZ MIDDLE,California,Santa Cruz County,="06087",336,305,1,3,610,1,26,–,–,641,24.00,26.71,36.921051,-121.769720,488,641,549,49,598
CESAR E. CHAVEZ MIDDLE,California,Merced County,="06047",147,125,1,1,267,1,2,–,–,272,12.75,21.33,37.285433,-120.325724,382,272,214,13,227
CESAR E. CHAVEZ MIDDLE,California,San Bernardino County,="06071",615,608,4,31,968,86,111,3,20,1223,45.01,27.17,34.201839,-117.365594,348,1223,852,139,991
CHABOT ELEMENTARY,California,Alameda County,="06001",325,255,1,46,60,49,303,1,120,580,24.50,23.67,37.850380,-122.243200,488,580,68,4,72
CHABOT ELEMENTARY,California,Alameda County,="06001",237,227,–,142,81,18,150,2,71,464,17.60,26.36,37.707231,-122.089605,488,464,82,16,98
CHABOYA MIDDLE,California,Santa Clara County,="06085",568,526,4,830,108,5,84,1,62,1094,41.74,26.21,37.311836,-121.761735,488,1094,109,25,134
CHAFFEY COMMUNITY DAY,California,San Bernardino County,="06071",17,="0",="0",="0",11,3,="0",="0",3,17,2.19,7.76,34.088041,-117.613159,348,17,12,="0",12
CHAFFEY DISTRICT ONLINE HIGH,California,San Bernardino County,="06071",31,54,–,7,36,8,31,–,3,85,3.89,21.85,34.087557,-117.613839,348,85,32,4,36
CHAFFEY HIGH,California,San Bernardino County,="06071",1656,1575,8,51,2884,73,158,12,45,3231,135.74,23.80,34.080301,-117.653805,348,3231,2407,377,2784
CHALLENGER MIDDLE,California,Los Angeles County,="06037",272,264,2,3,378,53,79,–,21,536,21.84,24.54,34.640949,-117.828264,348,536,458,52,510
CHALLENGER MIDDLE,California,San Diego County,="06073",519,426,2,459,161,34,140,7,142,945,40.21,23.50,32.913295,-117.157386,†,945,310,93,403
CHALLENGER SCHOOL OF SPORTS AND FITNESS,California,San Bernardino County,="06071",508,452,6,16,636,151,124,8,19,960,36.00,26.67,34.542258,-117.340884,348,960,739,68,807
CHALLENGES COMMUNITY DAY,California,San Bernardino County,="06071",7,1,="0",="0",2,5,1,="0",="0",8,1.00,8.00,34.901868,-117.025683,348,8,‡,‡,‡
CHALONE PEAKS MIDDLE,California,Monterey County,="06053",456,439,2,16,823,3,42,2,7,895,40.00,22.38,36.221211,-121.135993,†,895,793,19,812
CHAMPS - CHARTER HS OF ARTS-MULTIMEDIA & PERFORMING,CALIFORNIA,Los Angeles County,="06037",295,484,4,22,316,76,308,–,53,779,38.37,20.30,34.195120,-118.447521,348,779,360,57,417
CHANDLER ELEMENTARY,California,Los Angeles County,="06037",291,227,1,35,182,43,250,3,4,518,22.00,23.55,34.166328,-118.438456,348,518,200,47,247
CHANNEL ISLANDS HIGH,California,Ventura County,="06111",1327,1269,3,153,2293,14,85,4,44,2596,108.60,23.90,34.170218,-119.161968,348,2596,1906,211,2117
CHAPARRAL ELEMENTARY,California,San Bernardino County,="06071",168,172,1,1,306,13,17,–,2,340,17.58,19.34,34.044739,-117.499879,348,340,233,36,269
CHAPARRAL ELEMENTARY,California,Orange County,="06059",386,399,1,81,75,5,543,–,80,785,25.00,31.40,33.561738,-117.634678,348,785,58,2,60
CHAPARRAL ELEMENTARY,California,Los Angeles County,="06037",336,346,4,5,524,115,23,3,8,682,25.00,27.28,34.563249,-118.039790,348,682,551,72,623
CHAPARRAL ELEMENTARY,California,Los Angeles County,="06037",298,302,3,39,52,7,445,–,54,600,26.50,22.64,34.141586,-118.619565,348,600,51,10,61
CHAPARRAL ELEMENTARY,California,Los Angeles County,="06037",340,301,–,104,188,15,279,–,55,641,25.00,25.64,34.116947,-117.708213,348,641,130,12,142
CHAPARRAL ELEMENTARY,California,San Bernardino County,="06071",342,323,–,163,349,30,99,2,22,665,24.90,26.71,33.974564,-117.698885,348,665,283,25,308
CHAPARRAL ELEMENTARY,California,San Diego County,="06073",445,392,1,154,94,12,475,2,99,837,33.20,25.21,33.023857,-117.050770,†,837,100,13,113
CHAPARRAL HIGH,California,San Diego County,="06073",34,19,1,2,26,10,10,="0",4,53,7.17,7.39,32.817276,-116.980663,†,53,33,17,50
CHAPARRAL HIGH,California,San Bernardino County,="06071",106,53,="0",1,74,6,56,="0",22,159,7.89,20.15,34.417829,-117.577600,348,159,105,8,113
CHAPARRAL HIGH,California,Ventura County,="06111",41,17,="0",="0",17,="0",41,="0",="0",58,2.92,19.86,34.448413,-119.242407,348,58,36,2,38
CHAPARRAL HIGH,California,Riverside County,="06065",1536,1439,3,355,1159,147,1017,12,282,2975,113.31,26.26,33.538361,-117.147520,348,2975,687,193,880
CHAPARRAL HIGH (CONTINUATION),California,Los Angeles County,="06037",42,29,="0",3,41,3,13,="0",11,71,10.40,6.83,34.117820,-117.807790,348,71,49,6,55
CHAPARRAL HILLS ELEMENTARY,California,Riverside County,="06065",346,317,–,8,546,58,25,3,23,663,27.00,24.56,33.906878,-117.230030,348,663,527,59,586
CHAPARRAL MIDDLE,California,Ventura County,="06111",319,313,1,32,370,8,197,–,24,632,26.97,23.43,34.283498,-118.886761,348,632,239,33,272
CHAPARRAL MIDDLE,California,Los Angeles County,="06037",634,625,–,847,225,30,98,8,51,1259,46.20,27.25,33.995305,-117.818522,348,1259,240,31,271
CHAPMAN ELEMENTARY,California,Los Angeles County,="06037",239,207,–,56,293,74,11,12,–,446,19.00,23.47,33.895050,-118.313184,348,446,302,49,351
CHAPMAN ELEMENTARY,California,Butte County,="06007",174,156,5,29,117,13,130,2,34,330,15.00,22.00,39.726983,-121.814889,†,330,256,9,265
CHAPMAN HEIGHTS ELEMENTARY,California,San Bernardino County,="06071",410,336,6,22,316,9,386,1,6,746,30.50,24.46,34.041330,-117.070781,348,746,233,45,278
CHAPMAN HILLS ELEMENTARY,California,Orange County,="06059",257,236,1,43,186,6,211,2,44,493,17.00,29.00,33.789451,-117.767986,348,493,95,13,108
CHARLES BLACKSTOCK JUNIOR HIGH,California,Ventura County,="06111",710,761,2,96,1306,8,36,3,20,1471,57.05,25.78,34.163207,-119.171241,348,1471,1175,144,1319
CHARLES BURSCH ELEMENTARY,California,Los Angeles County,="06037",233,229,–,65,392,2,3,–,–,462,19.00,24.32,34.089762,-117.974400,348,462,461,="0",461
CHARLES D. JONES JUNIOR HIGH,California,Los Angeles County,="06037",212,214,1,27,391,4,2,1,–,426,23.50,18.13,34.075546,-117.966446,348,426,425,="0",425
CHARLES DREW MIDDLE,California,Los Angeles County,="06037",380,330,1,1,611,93,4,="0",="0",710,33.50,21.19,33.961481,-118.248709,348,710,642,7,649
CHARLES E. MACK ELEMENTARY,California,Sacramento County,="06067",446,427,6,178,492,112,26,16,43,873,32.49,26.87,38.480996,-121.445282,472,873,743,86,829
CHARLES G. EMERY ELEMENTARY,California,Orange County,="06059",354,275,–,297,240,12,51,7,22,629,27.00,23.30,33.884954,-117.983816,348,629,265,45,310
CHARLES H. CASTLE ELEMENTARY,California,Kern County,="06029",438,415,3,11,556,141,108,6,28,853,26.75,31.89,35.329190,-119.067544,†,853,678,63,741
CHARLES H. KIM ELEMENTARY,California,Los Angeles County,="06037",312,333,1,313,294,16,19,–,2,645,28.00,23.04,34.070313,-118.308174,348,645,474,70,544
CHARLES H. LEE ELEMENTARY,California,Los Angeles County,="06037",157,153,1,2,286,5,12,–,4,310,13.00,23.85,34.131039,-117.899162,348,310,263,24,287
CHARLES HELMERS ELEMENTARY,California,Los Angeles County,="06037",345,328,1,87,133,20,417,1,14,673,27.00,24.93,34.437131,-118.552070,348,673,79,13,92
CHARLES HOFFMAN ELEMENTARY,California,San Bernardino County,="06071",175,151,–,3,101,1,203,–,18,326,12.00,27.17,34.201514,-117.093067,348,326,164,28,192
CHARLES LEROY LOWMAN SPECIAL ED AND CAREER TRANSITION CENTER,California,Los Angeles County,="06037",71,47,="0",6,96,4,12,="0",="0",118,13.50,8.74,34.206561,-118.412489,348,118,77,14,91
CHARLES MACLAY MIDDLE,California,Los Angeles County,="06037",294,276,2,2,525,32,9,–,–,570,24.00,23.75,34.271345,-118.405609,348,570,513,13,526
CHARLES PECK ELEMENTARY,California,Sacramento County,="06067",163,162,3,13,77,30,165,1,36,325,14.00,23.21,38.659609,-121.317578,472,325,234,47,281
CHARLES T. KRANZ INTERMEDIATE,California,Los Angeles County,="06037",362,366,–,31,695,1,1,–,–,728,36.40,20.00,34.045245,-118.024126,348,728,645,37,682
CHARLES W. BARRETT ELEMENTARY,California,Los Angeles County,="06037",426,360,2,2,578,178,19,1,6,786,35.50,22.14,33.947768,-118.281088,348,786,711,19,730
CHARLES W. ELIOT MIDDLE,California,Los Angeles County,="06037",247,266,1,16,332,100,43,1,20,513,21.76,23.58,34.183030,-118.130147,348,513,344,30,374
CHARLES W. TEWINKLE MIDDLE,California,Orange County,="06059",350,276,1,12,511,4,85,2,11,626,33.47,18.70,33.687822,-117.924355,348,626,463,37,500
CHARLES WAGNER ELEMENTARY,California,Orange County,="06059",212,215,3,71,155,2,181,2,13,427,17.00,25.12,33.891652,-117.851786,348,427,78,12,90
CHARLES WHITE ELEMENTARY,California,Los Angeles County,="06037",162,152,–,6,292,8,7,–,1,314,15.00,20.93,34.060192,-118.279558,348,314,302,2,304
CHARLES WRIGHT ELEMENTARY,California,Merced County,="06047",282,275,1,30,404,23,82,–,17,557,23.00,24.22,37.296802,-120.462775,382,557,446,28,474
CHARLESTON ELEMENTARY,California,Merced County,="06047",202,178,2,9,231,1,124,5,8,380,14.00,27.14,36.983484,-120.827729,382,380,170,42,212
CHARLOTTE N. WERNER ELEMENTARY,California,San Bernardino County,="06071",430,405,4,7,679,115,18,2,10,835,36.00,23.19,34.100253,-117.391117,348,835,709,63,772
CHARLOTTE WOOD MIDDLE,California,Contra Costa County,="06013",504,474,1,121,74,6,696,4,76,978,40.67,24.05,37.801994,-121.977748,488,978,43,3,46
CHARNOCK ROAD ELEMENTARY,California,Los Angeles County,="06037",187,156,="0",68,201,42,32,="0",="0",343,17.00,20.18,34.017377,-118.420047,348,343,235,39,274
CHARTER ALTERNATIVE PROGRAM (CAP),California,El Dorado County,="06017",92,67,5,–,33,–,110,–,11,159,9.95,15.98,38.680810,-120.834688,472,159,53,="0",53
CHARTER ALTERNATIVES ACADEMY,California,Tulare County,="06107",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,†,36.359780,-119.217221,546,="0",–,–,–
CHARTER COMMUNITY SCHOOL HOME STUDY ACADEMY,California,El Dorado County,="06017",246,233,7,6,71,7,348,="0",40,479,24.28,19.73,38.721656,-120.867054,472,479,136,7,143
CHARTER HOME SCHOOL ACADEMY,California,Tulare County,="06107",48,47,–,2,60,3,22,–,8,95,6.46,14.71,36.319710,-119.293761,546,95,60,="0",60
CHARTER MONTESSORI VALLEY VIEW CAMPUS,California,El Dorado County,="06017",329,286,5,76,90,5,392,2,45,615,27.92,22.03,38.625709,-121.047999,472,615,64,14,78
CHARTER OAK HIGH,California,Los Angeles County,="06037",779,688,6,118,967,47,284,5,40,1467,59.06,24.84,34.098408,-117.861432,348,1467,630,112,742
CHARTER SCHOOL OF MORGAN HILL,CALIFORNIA,Santa Clara County,="06085",326,325,2,67,202,7,297,1,75,651,31.01,20.99,37.204896,-121.726371,488,651,44,2,46
CHARTER SCHOOL OF SAN DIEGO,CALIFORNIA,San Diego County,="06073",711,785,1,64,914,87,281,9,140,1496,51.40,29.11,32.902760,-117.184081,†,1496,876,151,1027
CHASE AVENUE ELEMENTARY,California,San Diego County,="06073",388,350,–,33,283,51,339,7,25,738,28.97,25.47,32.779486,-116.960396,†,738,640,44,684
CHASE STREET ELEMENTARY,California,Los Angeles County,="06037",290,258,1,46,476,4,19,–,2,548,25.00,21.92,34.225947,-118.439977,348,548,448,37,485
CHATOM ELEMENTARY,California,Stanislaus County,="06099",218,184,2,1,247,–,144,–,8,402,18.00,22.33,37.482366,-120.931802,382,402,286,41,327
CHATSWORTH CHARTER HIGH,California,Los Angeles County,="06037",947,811,2,236,1144,112,259,5,–,1758,80.33,21.88,34.252347,-118.584762,348,1758,1015,146,1161
CHATSWORTH PARK ELEMENTARY,California,Los Angeles County,="06037",214,181,1,51,197,39,103,2,2,395,17.00,23.24,34.257755,-118.606479,348,395,218,43,261
CHAUTAUQUA HIGH (CONTINUATION),California,San Bernardino County,="06071",24,17,="0",="0",13,1,25,="0",2,41,3.05,13.44,34.251542,-116.826176,348,41,34,5,39
CHAVEZ (CESAR) ELEMENTARY,California,San Francisco County,="06075",229,205,–,9,371,11,12,3,28,434,14.50,29.93,37.754911,-122.415165,488,434,315,17,332
CHAVEZ ELEMENTARY,California,San Diego County,="06073",248,248,–,11,458,12,4,–,11,496,20.00,24.80,32.691758,-117.108494,†,496,409,56,465
CHAVEZ ELEMENTARY,California,Los Angeles County,="06037",180,191,1,17,244,72,11,1,25,371,17.00,21.82,33.769955,-118.201318,348,371,303,29,332
CHAWANAKEE ACADEMY CHARTER,California,Madera County,="06039",126,136,15,4,50,4,186,–,3,262,10.22,25.64,37.123692,-119.730261,260,262,119,5,124
CHEMAWA MIDDLE,California,Riverside County,="06065",484,467,5,11,760,45,99,3,28,951,39.77,23.91,33.926494,-117.433511,348,951,705,124,829
CHEMEHUEVI VALLEY ELEMENTARY,CALIFORNIA,San Bernardino County,="06071",23,14,11,–,13,1,3,–,9,37,2.00,18.50,34.508730,-114.408228,348,37,32,="0",32
CHEREMOYA AVENUE ELEMENTARY,California,Los Angeles County,="06037",128,145,1,7,126,21,117,–,1,273,12.00,22.75,34.105851,-118.320664,348,273,168,6,174
CHEROKEE POINT ELEMENTARY,California,San Diego County,="06073",204,174,1,21,305,22,7,1,21,378,16.00,23.63,32.747252,-117.111081,†,378,317,46,363
CHERRY AVENUE MIDDLE,California,Tulare County,="06107",246,251,1,4,393,17,77,1,4,497,22.00,22.59,36.215623,-119.337129,546,497,387,30,417
CHERRY CHASE ELEMENTARY,California,Santa Clara County,="06085",449,386,–,509,27,3,217,1,78,835,34.00,24.56,37.366277,-122.056026,488,835,34,1,35
CHERRYLAND ELEMENTARY,California,Alameda County,="06001",394,352,–,27,633,42,16,8,20,746,29.00,25.72,37.675654,-122.098432,488,746,534,33,567
CHERRYLEE ELEMENTARY,California,Los Angeles County,="06037",177,183,–,62,289,2,7,–,–,360,15.00,24.00,34.093194,-118.008894,348,360,306,23,329
CHERRYWOOD ELEMENTARY,California,Santa Clara County,="06085",200,191,–,251,76,14,16,2,32,391,16.00,24.44,37.394204,-121.864517,488,391,101,17,118
CHESNUT HIGH (CONTINUATION),California,Fresno County,="06019",18,8,="0",1,25,="0",="0",="0",="0",26,2.00,13.00,36.209393,-120.098742,260,26,23,="0",23
CHESTER ELEMENTARY,California,Plumas County,="06063",107,97,4,2,15,–,172,–,11,204,11.00,18.55,40.305809,-121.230566,†,204,93,18,111
CHESTER JUNIOR/SENIOR HIGH,California,Plumas County,="06063",77,82,1,5,22,1,121,–,9,159,10.65,14.93,40.302334,-121.230168,†,159,64,6,70
CHESTER W. MORRISON ELEMENTARY,California,Riverside County,="06065",197,211,1,23,187,8,157,–,32,408,19.00,21.47,33.681411,-117.187647,348,408,148,22,170
CHESTER W. NIMITZ ELEMENTARY,California,Santa Clara County,="06085",329,299,–,256,117,6,210,2,37,628,26.89,23.35,37.347230,-122.036546,488,628,106,32,138
CHESTER W. NIMITZ MIDDLE,California,Los Angeles County,="06037",726,705,–,3,1417,1,8,2,–,1431,62.83,22.78,33.985815,-118.197247,348,1431,1224,89,1313
CHESTERTON ELEMENTARY,California,San Diego County,="06073",239,214,5,124,114,28,143,2,37,453,17.60,25.74,32.793439,-117.162984,†,453,121,107,228
CHET F. HARRITT ELEMENTARY,California,San Diego County,="06073",316,316,10,32,190,33,301,–,66,632,23.00,27.48,32.831744,-117.018086,†,632,205,48,253
CHEVIOT HILLS CONTINUATION,California,Los Angeles County,="06037",55,27,–,–,60,17,5,–,–,82,3.50,23.43,34.035566,-118.392606,348,82,51,5,56
CHICAGO PARK COMMUNITY CHARTER,California,Nevada County,="06057",35,29,–,1,11,–,51,–,1,64,3.15,20.32,39.144369,-120.977509,472,64,36,3,39
CHICAGO PARK ELEMENTARY,California,Nevada County,="06057",61,58,3,2,17,–,90,–,7,119,5.85,20.34,39.144367,-120.977482,472,119,54,5,59
CHICO COUNTRY DAY,CALIFORNIA,Butte County,="06007",278,280,5,21,54,10,425,1,42,558,22.66,24.62,39.723920,-121.833171,†,558,115,10,125
CHICO HIGH,California,Butte County,="06007",881,859,24,93,453,54,1007,5,104,1740,76.03,22.89,39.735640,-121.844946,†,1740,631,74,705
CHICO JUNIOR HIGH,California,Butte County,="06007",434,444,16,42,329,25,425,2,39,878,37.64,23.33,39.734180,-121.839039,†,878,448,78,526
CHILDREN OF PROMISE PREPARATORY ACADEMY,CALIFORNIA,Los Angeles County,="06037",215,204,3,–,101,305,10,–,–,419,12.60,33.25,33.933664,-118.327667,348,419,288,21,309
CHILDREN'S COMMUNITY CHARTER,CALIFORNIA,Butte County,="06007",107,113,3,2,9,4,184,–,18,220,10.00,22.00,39.783760,-121.578561,†,220,79,20,99
CHIME INSTITUTE'S SCHWARZENEGGER COMMUNITY,CALIFORNIA,Los Angeles County,="06037",392,395,7,37,181,28,500,–,34,787,48.81,16.12,34.165223,-118.562771,348,787,113,="0",113
CHIN (JOHN YEHALL) ELEMENTARY,California,San Francisco County,="06075",134,132,–,231,7,2,6,–,20,266,10.00,26.60,37.798633,-122.403092,488,266,166,30,196
CHINESE CAMP ELEMENTARY,California,Tuolumne County,="06109",14,16,–,–,6,–,22,–,2,30,2.00,15.00,37.867682,-120.436774,†,30,17,1,18
CHINESE IMMERSION SCHOOL AT DEAVILA,California,San Francisco County,="06075",170,217,–,264,13,7,34,–,69,387,14.60,26.51,37.769735,-122.444297,488,387,81,20,101
CHINO HIGH,California,San Bernardino County,="06071",935,912,2,77,1500,39,201,3,25,1847,84.58,21.84,34.022661,-117.683005,348,1847,1050,170,1220
CHINO HILLS HIGH,California,San Bernardino County,="06071",1429,1345,6,692,1139,153,657,9,118,2774,102.89,26.96,33.960026,-117.686904,348,2774,718,96,814
CHINO VALLEY LEARNING ACADEMY,California,San Bernardino County,="06071",11,1,="0",="0",10,1,="0",="0",1,12,2.10,5.71,33.969065,-117.715561,348,12,7,2,9
CHIPMAN JUNIOR HIGH,California,Kern County,="06029",463,477,2,15,724,59,121,2,17,940,37.12,25.32,35.400967,-118.937358,†,940,680,82,762
CHOLLAS/MEAD ELEMENTARY,California,San Diego County,="06073",303,289,4,30,478,33,8,6,33,592,25.00,23.68,32.710361,-117.097592,†,592,504,52,556
CHOWCHILLA UNION HIGH,California,Madera County,="06039",540,548,9,20,682,15,341,1,20,1088,48.84,22.28,37.114740,-120.262262,260,1088,692,79,771
CHRISTA MCAULIFFE ELEMENTARY,California,Ventura County,="06111",372,326,1,31,554,16,77,1,18,698,32.00,21.81,34.187644,-119.213504,348,698,332,42,374
CHRISTA MCAULIFFE ELEMENTARY,California,Kern County,="06029",262,266,–,41,274,50,144,3,16,528,20.50,25.76,35.330811,-119.100619,†,528,271,36,307
CHRISTA MCAULIFFE ELEMENTARY,California,San Diego County,="06073",288,257,3,23,299,8,172,3,37,545,23.14,23.55,33.199879,-117.307019,†,545,241,47,288
CHRISTA MCAULIFFE ELEMENTARY,California,Santa Clara County,="06085",242,251,–,235,28,4,160,–,66,493,19.53,25.24,37.292018,-122.010655,488,493,20,="0",20
CHRISTA MCAULIFFE MIDDLE,California,San Joaquin County,="06077",385,374,2,194,295,103,116,7,42,759,36.65,20.71,38.045594,-121.366342,488,759,333,77,410
CHRISTIAN SORENSEN ELEMENTARY,California,Los Angeles County,="06037",235,258,–,3,458,2,14,1,15,493,18.00,27.39,33.978098,-118.059906,348,493,355,38,393
CHRISTINE SIPHERD ELEMENTARY,California,Stanislaus County,="06099",222,238,1,24,234,15,152,3,31,460,19.00,24.21,37.662645,-120.931767,382,460,268,95,363
CHRISTOPHER COLUMBUS MIDDLE,California,Los Angeles County,="06037",358,324,3,43,568,28,38,1,1,682,32.50,20.98,34.212228,-118.611340,348,682,556,28,584
CHRISTOPHER DENA ELEMENTARY,California,Los Angeles County,="06037",230,218,–,2,433,10,3,–,–,448,20.00,22.40,34.022071,-118.211244,348,448,410,12,422
CHRISTOPHER ELEMENTARY,California,Santa Clara County,="06085",194,181,3,33,306,8,11,6,8,375,14.00,26.79,37.279801,-121.818574,488,375,240,27,267
CHRISTOPHER HIGH,California,Santa Clara County,="06085",849,780,8,127,981,29,384,5,95,1629,70.98,22.95,37.036603,-121.601558,488,1629,559,105,664
CHRYSALIS CHARTER,CALIFORNIA,Shasta County,="06089",134,98,3,1,24,–,187,2,15,232,10.75,21.58,40.561241,-122.241781,454,232,72,25,97
CHUALAR ELEMENTARY,California,Monterey County,="06053",174,135,–,–,305,–,4,–,–,309,15.00,20.60,36.572036,-121.516093,†,309,231,39,270
CHULA VISTA HILLS ELEMENTARY,California,San Diego County,="06073",278,252,2,53,349,18,74,3,31,530,22.50,23.56,32.636768,-117.003495,†,530,150,56,206
CHULA VISTA LEARNING COMMUNITY CHARTER,CALIFORNIA,San Diego County,="06073",702,808,–,5,1428,4,67,–,6,1510,65.58,23.03,32.620234,-117.083149,†,1510,685,294,979
CHULA VISTA MIDDLE,California,San Diego County,="06073",450,424,3,30,679,21,119,6,16,874,40.07,21.81,32.634752,-117.086052,†,874,574,116,690
CHULA VISTA SENIOR HIGH,California,San Diego County,="06073",1175,1312,4,64,2240,39,73,6,61,2487,105.23,23.63,32.621737,-117.078342,†,2487,1547,335,1882
CIELO VISTA CHARTER,California,Riverside County,="06065",432,468,2,45,699,17,122,1,14,900,39.00,23.08,33.813408,-116.500945,348,900,562,99,661
CIELO VISTA ELEMENTARY,California,Orange County,="06059",395,334,2,55,369,8,261,5,29,729,23.00,31.70,33.646271,-117.586315,348,729,284,25,309
CIENEGA ELEMENTARY,California,Los Angeles County,="06037",288,291,–,2,476,72,17,–,12,579,26.00,22.27,34.031852,-118.353766,348,579,507,18,525
CIENEGA ELEMENTARY,California,San Benito County,="06069",12,13,–,–,11,–,14,–,–,25,–,†,36.730104,-121.361417,488,25,8,="0",8
CIMARRON AVENUE ELEMENTARY,California,Los Angeles County,="06037",171,147,–,3,54,248,5,7,1,318,16.00,19.88,33.928446,-118.315748,348,318,224,19,243
CIMARRON ELEMENTARY,California,Los Angeles County,="06037",331,256,4,8,445,87,33,2,8,587,24.50,23.96,34.552602,-118.048788,348,587,432,80,512
CINNABAR CHARTER,California,Sonoma County,="06097",124,125,–,–,161,4,74,2,8,249,10.95,22.74,38.258891,-122.664908,488,249,90,12,102
CINNABAR ELEMENTARY,California,Sonoma County,="06097",8,10,–,–,14,–,4,–,–,18,1.00,18.00,38.258880,-122.664863,488,18,3,="0",3
CINNAMON ELEMENTARY,California,Kings County,="06031",281,289,5,28,392,9,108,1,27,570,24.27,23.49,36.307974,-119.775831,546,570,329,66,395
CIPRIANI ELEMENTARY,California,San Mateo County,="06081",234,207,–,111,44,3,207,1,75,441,16.00,27.56,37.516253,-122.306284,488,441,19,1,20
CIRCLE OF INDEPENDENT LEARNING,California,Alameda County,="06001",194,174,1,165,88,9,82,4,19,368,15.64,23.53,37.538268,-121.991277,488,368,96,22,118
CIRCLE VIEW ELEMENTARY,California,Orange County,="06059",365,358,1,161,143,6,341,1,70,723,27.23,26.55,33.732918,-118.019365,348,723,154,13,167
CIS ACADEMY,California,Los Angeles County,="06037",105,100,–,7,145,18,28,–,7,205,9.20,22.28,34.162032,-118.092096,348,205,107,="0",107
CITIZENS OF THE WORLD CHARTER SCHOOL HOLLYWOOD,CALIFORNIA,Los Angeles County,="06037",258,231,–,108,145,20,211,–,5,489,20.00,24.45,34.094800,-118.316841,348,489,172,35,207
CITIZENS OF THE WORLD CHARTER SCHOOL MAR VISTA,CALIFORNIA,Los Angeles County,="06037",357,297,1,49,200,59,266,2,77,654,28.30,23.11,34.031977,-118.442633,348,654,174,29,203
CITIZENS OF THE WORLD CHARTER SCHOOL SILVER LAKE,CALIFORNIA,Los Angeles County,="06037",411,329,2,105,272,44,250,4,63,740,38.07,19.44,34.100150,-118.312111,348,740,283,50,333
CITRUS AVENUE ELEMENTARY,California,Butte County,="06007",168,146,7,37,92,21,120,6,31,314,16.20,19.38,39.738772,-121.852143,†,314,254,18,272
CITRUS ELEMENTARY,California,San Bernardino County,="06071",320,279,5,31,415,47,67,3,31,599,26.00,23.04,34.089648,-117.664016,348,599,442,42,484
CITRUS ELEMENTARY,California,San Bernardino County,="06071",364,401,1,9,704,26,16,2,7,765,30.03,25.47,34.084061,-117.455485,348,765,593,88,681
CITRUS GLEN ELEMENTARY,California,Ventura County,="06111",281,281,2,20,308,5,197,1,29,562,22.50,24.98,34.277841,-119.172370,348,562,217,70,287
CITRUS HIGH,California,Tulare County,="06107",112,53,11,2,121,="0",25,1,5,165,9.01,18.31,36.083254,-119.011778,546,165,135,="0",135
CITRUS HIGH (CONTINUATION),California,San Bernardino County,="06071",188,94,2,3,254,12,9,1,1,282,22.23,12.69,34.074097,-117.456582,348,282,225,40,265
CITRUS HILL HIGH,California,Riverside County,="06065",998,904,7,25,1614,121,96,7,32,1902,82.17,23.15,33.856175,-117.330491,348,1902,1334,217,1551
CITRUS HILLS INTERMEDIATE,California,Riverside County,="06065",620,516,2,119,484,77,420,4,30,1136,43.01,26.41,33.839181,-117.570846,348,1136,327,70,397
CITRUS MIDDLE,California,Fresno County,="06019",337,337,–,2,662,–,9,–,1,674,24.04,28.04,36.616755,-119.321906,260,674,606,35,641
CITRUS SPRINGS CHARTER,CALIFORNIA,Orange County,="06059",131,125,–,7,155,5,68,5,16,256,8.38,30.55,33.764870,-117.850311,348,256,138,36,174
